,Ahlgren Scott D.,Albin Pierre,Balogh József,Baryshnikov Yuliy M.,Berwick-Evans Daniel,Boca Florin-Petre,Bradlow Steven Benjamin,Bronski Jared C.,Cooney Daniel B.,De Ville R E Lee,Dey Partha Sarathi,Di Francesco Philippe,Dodd Christopher,Dunfield Nathan M.,Dutta Sankar Prasad,Duursma Iwan Maynard,Erdoğan Mehmet Burak,Fadina Tolulope,Feng Runhuan,Fernandes Rui Loja,Ford Kevin B.,Guzman Rosemary K.,Haboush William J.,Heller Jeremiah Ben,Hinkkanen Aimo,Hirani Anil N.,Hung Pei-Ken,Hur Vera Mikyoung,Ivanov Sergei Vladimirovich,Janda Felix,Jing Xiaochen,Junge Marius,Katz Sheldon H.,Kedem Rinat,Kerman Ely,Kirkpatrick Kay Lene,Kirr Eduard,Kostochka Alexandr V.,Kutzarova Denka N.,La Nave Gabriele,Laugesen Richard Snyder,Leditzky Felix,Lerman Eugene M.,Liu Yuan,Li Xiaochun,Mc Carthy Randy,Mineyev Igor,Nikolaev Igor G.,Oikhberg Timur,Pascaleff James Thomas,Quan Zhiyu,Rapti Zoi,Rasmussen Jacob,Rasmussen Sarah Dean,Rezk Charles W.,Reznick Bruce,Song Renming,Sowers Richard B.,Stojanoska Vesna,Thorner Jesse,Tolman Susan,Tumanov Alexander,Tyson Jeremy T.,Tzirakis Nikolaos,Wei Wei,Wu Xuan,Yong Alexander T F.,Young Amanda,Zaharescu Alexandru,Zharnitsky Vadim
Heller Jeremiah Ben,5,2,2,1,3,2,2,0,0,0,1,0,1,5,7,2,1,0,1,4,4,2,4,13,3,2,2,0,5,3,0,5,1,1,3,2,1,1,2,3,2,0,1,2,1,5,3,1,1,2,0,1,3,1,8,4,2,2,8,1,2,0,2,2,0,0,5,1,5,0
Hinkkanen Aimo,7,3,4,4,1,8,4,1,0,2,0,1,1,2,6,2,5,0,0,5,11,0,1,3,39,0,1,2,6,2,0,9,4,1,3,0,0,4,6,1,13,0,2,0,6,2,3,2,7,0,0,0,1,0,4,5,3,4,4,3,2,8,15,4,0,0,4,0,13,1
Hirani Anil N.,0,1,2,1,1,0,0,0,0,1,1,0,0,1,2,2,0,0,1,0,0,2,1,2,0,13,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
Hung Pei-Ken,1,3,0,2,1,1,3,1,0,0,2,1,0,2,2,1,1,0,1,2,1,1,2,2,1,1,11,1,0,1,0,5,2,1,2,5,1,0,0,4,3,2,2,1,1,1,1,1,0,1,0,1,1,1,2,0,0,1,2,1,3,1,2,0,0,1,1,2,1,1
Hur Vera Mikyoung,4,5,4,8,1,4,3,8,0,3,1,4,2,1,0,1,13,0,1,7,4,0,0,0,2,0,1,27,2,2,0,5,4,5,1,3,2,1,3,3,5,2,6,1,2,0,1,0,1,1,0,2,2,1,0,4,2,3,0,4,5,5,5,10,0,0,6,1,6,7
Ivanov Sergei Vladimirovich,8,1,6,3,2,5,6,2,0,1,0,3,2,3,6,2,4,0,0,5,9,0,3,5,6,0,0,2,32,2,0,9,2,3,1,0,0,3,5,2,5,0,4,1,3,3,3,3,6,0,0,0,1,1,2,8,4,4,4,4,3,2,9,3,0,0,7,0,14,1
Janda Felix,2,4,2,2,4,2,0,0,0,0,1,2,2,3,2,1,2,0,1,3,3,1,2,3,2,1,1,2,2,14,0,3,3,4,3,1,1,1,1,3,2,1,4,2,1,2,1,3,0,3,0,1,6,2,4,2,0,0,3,3,4,2,3,1,0,0,3,1,4,0
Jing Xiaochen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junge Marius,10,8,13,11,3,17,9,3,0,3,2,5,2,5,5,2,11,0,0,11,15,0,3,5,9,0,5,5,9,3,0,57,6,5,5,7,2,5,14,6,13,4,12,2,8,4,3,0,15,1,0,0,2,1,5,11,12,8,3,8,10,5,12,8,0,1,12,3,24,2
Katz Sheldon H.,4,2,3,4,2,5,3,3,1,1,0,3,2,3,3,1,8,0,0,8,4,0,1,1,4,0,2,4,2,3,0,6,23,6,2,2,0,2,3,4,4,1,8,0,5,1,2,1,1,1,0,1,2,0,3,5,3,3,2,5,7,5,4,4,0,0,7,0,9,3
